external_alarm_id;source_system;date_alerte;code_site;code_equipement;code_service;type_alerte;severite;message;metrique;valeur_mesuree;seuil;unite;statut;fingerprint
SIM-0018;SIMULATEUR_STAGE;2026-06-21 08:58:39;ARI-BTS-014;ARI-MW-014;SUP-NOC;PING_LOSS;CRITIQUE;Perte de paquets élevée : 75%;PING_LOSS;75;80;%;NOUVELLE;ARI-BTS-014-ARI-MW-014-PING_LOSS
SIM-0019;SIMULATEUR_STAGE;2026-06-22 11:23:39;ARI-BTS-014;ARI-ENB-014;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-ENB-014-SERVICE_DOWN
SIM-0020;SIMULATEUR_STAGE;2026-06-20 18:12:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-SERVICE_DOWN
SIM-0021;SIMULATEUR_STAGE;2026-06-17 11:37:39;ARI-BTS-014;ARI-MW-014;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-MW-014-LINK_DOWN
SIM-0022;SIMULATEUR_STAGE;2026-06-18 04:39:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;CPU_HIGH;CRITIQUE;CPU élevé détecté : 95%;CPU;95;90;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-CPU_HIGH
SIM-0023;SIMULATEUR_STAGE;2026-06-20 14:13:39;SOU-DC-001;SOU-SRV-OSS-01;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-POWER_FAIL
SIM-0024;SIMULATEUR_STAGE;2026-06-23 18:35:39;SOU-DC-001;SOU-SRV-OSS-01;SUP-NOC;AUTH_FAILURE_SPIKE;MINEURE;Pic d'authentifications échouées : 55 tentatives;AUTH_FAILURE_SPIKE;55;20;tentatives;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-AUTH_FAILURE_SPIKE
SIM-0025;SIMULATEUR_STAGE;2026-06-20 02:56:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 94%;RAM;94;90;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-RAM_HIGH
SIM-0026;SIMULATEUR_STAGE;2026-06-16 12:35:39;NAB-BTS-031;NAB-ENER-031;APP-OSS;SERVICE_DOWN;MAJEURE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;NAB-BTS-031-NAB-ENER-031-SERVICE_DOWN
SIM-0027;SIMULATEUR_STAGE;2026-06-26 04:55:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-SERVICE_DOWN
SIM-0028;SIMULATEUR_STAGE;2026-06-20 11:37:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;SERVICE_DOWN;MINEURE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-SERVICE_DOWN
SIM-0029;SIMULATEUR_STAGE;2026-06-19 22:20:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;DISK_FULL;CRITIQUE;Espace disque critique : 99%;DISK_FULL;99;95;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-DISK_FULL
SIM-0030;SIMULATEUR_STAGE;2026-06-17 02:04:39;TUN-POP-001;TUN-SRV-NMS-01;SUP-NOC;CPU_HIGH;MINEURE;CPU élevé détecté : 84%;CPU;84;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-CPU_HIGH
SIM-0031;SIMULATEUR_STAGE;2026-06-17 05:37:39;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 96%;RAM;96;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-RAM_HIGH
SIM-0032;SIMULATEUR_STAGE;2026-06-18 06:05:39;ARI-BTS-014;ARI-MW-014;APP-OSS;DISK_FULL;CRITIQUE;Espace disque critique : 97%;DISK_FULL;97;95;%;NOUVELLE;ARI-BTS-014-ARI-MW-014-DISK_FULL
SIM-0033;SIMULATEUR_STAGE;2026-06-24 02:08:39;ARI-BTS-014;ARI-ENB-014;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-ENB-014-POWER_FAIL
SIM-0034;SIMULATEUR_STAGE;2026-06-26 02:22:39;BIZ-BTS-022;BIZ-ENB-022;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-POWER_FAIL
SIM-0035;SIMULATEUR_STAGE;2026-06-20 01:50:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;AUTH_FAILURE_SPIKE;MINEURE;Pic d'authentifications échouées : 34 tentatives;AUTH_FAILURE_SPIKE;34;20;tentatives;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-AUTH_FAILURE_SPIKE
SIM-0036;SIMULATEUR_STAGE;2026-06-16 12:53:39;SOU-DC-001;SOU-SRV-OSS-01;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-LINK_DOWN
SIM-0037;SIMULATEUR_STAGE;2026-06-17 06:21:39;ARI-BTS-014;ARI-ENB-014;SUP-NOC;CPU_HIGH;MAJEURE;CPU élevé détecté : 76%;CPU;76;90;%;NOUVELLE;ARI-BTS-014-ARI-ENB-014-CPU_HIGH
SIM-0038;SIMULATEUR_STAGE;2026-06-18 18:23:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
SIM-0039;SIMULATEUR_STAGE;2026-06-25 02:15:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;DISK_FULL;MAJEURE;Espace disque critique : 87%;DISK_FULL;87;95;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-DISK_FULL
SIM-0040;SIMULATEUR_STAGE;2026-06-23 12:16:39;TUN-POP-001;TUN-RTR-CORE-01;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-LINK_DOWN
SIM-0041;SIMULATEUR_STAGE;2026-06-17 01:32:39;NAB-BTS-031;NAB-ENER-031;SUP-NOC;PING_LOSS;CRITIQUE;Perte de paquets élevée : 79%;PING_LOSS;79;80;%;NOUVELLE;NAB-BTS-031-NAB-ENER-031-PING_LOSS
SIM-0042;SIMULATEUR_STAGE;2026-06-25 00:44:39;TUN-POP-001;TUN-SRV-NMS-01;APP-OSS;RAM_HIGH;MAJEURE;Mémoire RAM élevée : 93%;RAM;93;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-RAM_HIGH
SIM-0043;SIMULATEUR_STAGE;2026-06-21 05:57:39;ARI-BTS-014;ARI-ENB-014;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 76%;RAM;76;90;%;NOUVELLE;ARI-BTS-014-ARI-ENB-014-RAM_HIGH
SIM-0044;SIMULATEUR_STAGE;2026-06-21 10:04:39;ARI-BTS-014;ARI-MW-014;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-MW-014-POWER_FAIL
SIM-0045;SIMULATEUR_STAGE;2026-06-22 06:42:39;NAB-BTS-031;NAB-ENER-031;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 71%;RAM;71;90;%;NOUVELLE;NAB-BTS-031-NAB-ENER-031-RAM_HIGH
SIM-0046;SIMULATEUR_STAGE;2026-06-21 16:19:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;CPU_HIGH;MAJEURE;CPU élevé détecté : 80%;CPU;80;90;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-CPU_HIGH
SIM-0047;SIMULATEUR_STAGE;2026-06-18 06:13:39;NAB-BTS-031;NAB-ENER-031;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;NAB-BTS-031-NAB-ENER-031-LINK_DOWN
SIM-0048;SIMULATEUR_STAGE;2026-06-21 00:33:39;NAB-BTS-031;NAB-ENER-031;SUP-NOC;CPU_HIGH;MAJEURE;CPU élevé détecté : 89%;CPU;89;90;%;NOUVELLE;NAB-BTS-031-NAB-ENER-031-CPU_HIGH
SIM-0049;SIMULATEUR_STAGE;2026-06-17 02:26:39;ARI-BTS-014;ARI-ENB-014;SUP-NOC;AUTH_FAILURE_SPIKE;MINEURE;Pic d'authentifications échouées : 38 tentatives;AUTH_FAILURE_SPIKE;38;20;tentatives;NOUVELLE;ARI-BTS-014-ARI-ENB-014-AUTH_FAILURE_SPIKE
SIM-0050;SIMULATEUR_STAGE;2026-06-21 14:21:39;BIZ-BTS-022;BIZ-ENB-022;SUP-NOC;CPU_HIGH;CRITIQUE;CPU élevé détecté : 76%;CPU;76;90;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-CPU_HIGH
SIM-0051;SIMULATEUR_STAGE;2026-06-22 19:53:39;TUN-POP-001;TUN-RTR-CORE-01;APP-OSS;DISK_FULL;MINEURE;Espace disque critique : 85%;DISK_FULL;85;95;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-DISK_FULL
SIM-0052;SIMULATEUR_STAGE;2026-06-25 23:25:39;NAB-BTS-031;NAB-ENER-031;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;NAB-BTS-031-NAB-ENER-031-LINK_DOWN
SIM-0053;SIMULATEUR_STAGE;2026-06-23 01:54:39;SOU-DC-001;SOU-SRV-OSS-01;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-LINK_DOWN
SIM-0054;SIMULATEUR_STAGE;2026-06-26 11:05:39;SOU-DC-001;SOU-SRV-OSS-01;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-POWER_FAIL
SIM-0055;SIMULATEUR_STAGE;2026-06-19 07:14:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
SIM-0056;SIMULATEUR_STAGE;2026-06-16 14:18:39;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;DISK_FULL;MINEURE;Espace disque critique : 90%;DISK_FULL;90;95;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-DISK_FULL
SIM-0057;SIMULATEUR_STAGE;2026-06-17 21:48:39;TUN-POP-001;TUN-RTR-CORE-01;APP-OSS;RAM_HIGH;MAJEURE;Mémoire RAM élevée : 86%;RAM;86;90;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-RAM_HIGH
SIM-0058;SIMULATEUR_STAGE;2026-06-18 04:17:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;PING_LOSS;MAJEURE;Perte de paquets élevée : 73%;PING_LOSS;73;80;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-PING_LOSS
SIM-0059;SIMULATEUR_STAGE;2026-06-25 05:24:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-SERVICE_DOWN
SIM-0060;SIMULATEUR_STAGE;2026-06-17 17:45:39;TUN-POP-001;TUN-RTR-CORE-01;APP-OSS;SERVICE_DOWN;MAJEURE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-SERVICE_DOWN
SIM-0061;SIMULATEUR_STAGE;2026-06-22 22:02:39;SOU-DC-001;SOU-SRV-OSS-01;APP-OSS;RAM_HIGH;MAJEURE;Mémoire RAM élevée : 78%;RAM;78;90;%;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-RAM_HIGH
SIM-0062;SIMULATEUR_STAGE;2026-06-19 04:46:39;ARI-BTS-014;ARI-MW-014;SUP-NOC;PING_LOSS;MAJEURE;Perte de paquets élevée : 82%;PING_LOSS;82;80;%;NOUVELLE;ARI-BTS-014-ARI-MW-014-PING_LOSS
SIM-0063;SIMULATEUR_STAGE;2026-06-16 12:10:39;TUN-POP-001;TUN-SRV-NMS-01;SUP-NOC;CPU_HIGH;MINEURE;CPU élevé détecté : 83%;CPU;83;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-CPU_HIGH
SIM-0064;SIMULATEUR_STAGE;2026-06-24 00:16:39;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;DISK_FULL;CRITIQUE;Espace disque critique : 94%;DISK_FULL;94;95;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-DISK_FULL
SIM-0065;SIMULATEUR_STAGE;2026-06-26 02:58:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;CPU_HIGH;CRITIQUE;CPU élevé détecté : 97%;CPU;97;90;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-CPU_HIGH
SIM-0066;SIMULATEUR_STAGE;2026-06-16 22:08:39;BIZ-BTS-022;BIZ-ENB-022;SUP-NOC;CPU_HIGH;MINEURE;CPU élevé détecté : 88%;CPU;88;90;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-CPU_HIGH
SIM-0067;SIMULATEUR_STAGE;2026-06-19 03:31:39;TUN-POP-001;TUN-SRV-NMS-01;SUP-NOC;PING_LOSS;CRITIQUE;Perte de paquets élevée : 63%;PING_LOSS;63;80;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-PING_LOSS
SIM-0068;SIMULATEUR_STAGE;2026-06-18 03:48:39;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 89%;RAM;89;90;%;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-RAM_HIGH
SIM-0069;SIMULATEUR_STAGE;2026-06-25 21:15:39;ARI-BTS-014;ARI-ENB-014;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-ENB-014-LINK_DOWN
SIM-0070;SIMULATEUR_STAGE;2026-06-25 17:36:39;ARI-BTS-014;ARI-MW-014;SUP-NOC;CPU_HIGH;CRITIQUE;CPU élevé détecté : 88%;CPU;88;90;%;NOUVELLE;ARI-BTS-014-ARI-MW-014-CPU_HIGH
SIM-0071;SIMULATEUR_STAGE;2026-06-24 21:33:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
SIM-0072;SIMULATEUR_STAGE;2026-06-21 12:03:39;NAB-BTS-031;NAB-ENER-031;APP-OSS;RAM_HIGH;CRITIQUE;Mémoire RAM élevée : 97%;RAM;97;90;%;NOUVELLE;NAB-BTS-031-NAB-ENER-031-RAM_HIGH
SIM-0073;SIMULATEUR_STAGE;2026-06-19 18:41:39;NAB-BTS-031;NAB-ENER-031;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;NAB-BTS-031-NAB-ENER-031-LINK_DOWN
SIM-0074;SIMULATEUR_STAGE;2026-06-23 12:01:39;ARI-BTS-014;ARI-ENB-014;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;ARI-BTS-014-ARI-ENB-014-LINK_DOWN
SIM-0075;SIMULATEUR_STAGE;2026-06-25 16:53:39;BIZ-BTS-022;BIZ-ENB-022;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-POWER_FAIL
SIM-0076;SIMULATEUR_STAGE;2026-06-25 11:23:39;BIZ-BTS-022;BIZ-ENB-022;APP-OSS;SERVICE_DOWN;CRITIQUE;Service applicatif arrêté;SERVICE_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-SERVICE_DOWN
SIM-0077;SIMULATEUR_STAGE;2026-06-22 16:05:39;TUN-POP-001;TUN-RTR-CORE-01;SUP-NOC;PING_LOSS;MINEURE;Perte de paquets élevée : 66%;PING_LOSS;66;80;%;NOUVELLE;TUN-POP-001-TUN-RTR-CORE-01-PING_LOSS
SIM-0078;SIMULATEUR_STAGE;2026-06-24 21:09:39;TUN-POP-001;TUN-SRV-NMS-01;SUP-NOC;CPU_HIGH;CRITIQUE;CPU élevé détecté : 86%;CPU;86;90;%;NOUVELLE;TUN-POP-001-TUN-SRV-NMS-01-CPU_HIGH
SIM-0079;SIMULATEUR_STAGE;2026-06-20 14:46:39;SOU-DC-001;SOU-SRV-OSS-01;ENERGIE-SITE;POWER_FAIL;CRITIQUE;Défaut énergie site détecté;POWER_FAIL;0;1;etat;NOUVELLE;SOU-DC-001-SOU-SRV-OSS-01-POWER_FAIL
SIM-0080;SIMULATEUR_STAGE;2026-06-24 01:16:39;BIZ-BTS-022;BIZ-ENB-022;MW-BACKHAUL;LINK_DOWN;CRITIQUE;Lien de transmission indisponible;LINK_STATUS;0;1;etat;NOUVELLE;BIZ-BTS-022-BIZ-ENB-022-LINK_DOWN
