type_alerte,metrique,valeur_mesuree,seuil,unite,ratio_seuil,severite,equipement,heure,jour_semaine,is_anomalie
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,ARI-ENB-014,16,0,0
RAM_HIGH,RAM,82.07,90,%,0.9119,MAJEURE,ARI-ENB-014,8,0,0
DISK_FULL,DISK,92.33,90,%,1.0259,MAJEURE,ARI-ENB-014,1,4,1
AUTH_FAILURE,AUTH_FAIL,1.36,5,count,0.272,MAJEURE,TUN-RTR-CORE-01,8,6,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,BIZ-ENB-022,23,2,0
AUTH_FAILURE,AUTH_FAIL,1.01,5,count,0.202,MINEURE,SOU-SRV-OSS-01,0,5,0
AUTH_FAILURE,AUTH_FAIL,1.77,5,count,0.354,MINEURE,TUN-RTR-CORE-01,6,2,0
AUTH_FAILURE,AUTH_FAIL,0.85,5,count,0.17,MAJEURE,NAB-ENER-031,1,1,0
DISK_FULL,DISK,97.44,90,%,1.0827,CRITIQUE,NAB-ENER-031,1,2,1
CPU_HIGH,CPU,94.99,85,%,1.1175,CRITIQUE,NAB-ENER-031,17,0,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MAJEURE,TUN-RTR-CORE-01,11,1,0
POWER_FAIL,VOLTAGE,22.31,48,V,0.4648,MAJEURE,BIZ-ENB-022,4,1,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,6,0,0
AUTH_FAILURE,AUTH_FAIL,3.42,5,count,0.684,CRITIQUE,TUN-RTR-CORE-01,21,2,0
AUTH_FAILURE,AUTH_FAIL,0.22,5,count,0.044,MAJEURE,SOU-SRV-OSS-01,11,4,0
AUTH_FAILURE,AUTH_FAIL,3.91,5,count,0.782,CRITIQUE,SOU-SRV-OSS-01,4,1,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,NAB-ENER-031,14,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,SOU-SRV-OSS-01,22,6,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,SOU-SRV-OSS-01,17,6,0
DISK_FULL,DISK,34.62,90,%,0.3847,MAJEURE,BIZ-ENB-022,18,4,0
RAM_HIGH,RAM,44.23,90,%,0.4914,MAJEURE,SOU-SRV-OSS-01,12,5,0
AUTH_FAILURE,AUTH_FAIL,3.26,5,count,0.652,MINEURE,SOU-SRV-OSS-01,13,6,0
AUTH_FAILURE,AUTH_FAIL,0.66,5,count,0.132,MINEURE,SOU-SRV-OSS-01,19,3,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,19,4,1
CPU_HIGH,CPU,31.0,85,%,0.3647,MAJEURE,SOU-SRV-OSS-01,14,6,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,6,6,1
DISK_FULL,DISK,11.96,90,%,0.1329,MAJEURE,BIZ-ENB-022,13,6,0
DISK_FULL,DISK,99.83,90,%,1.1092,MAJEURE,NAB-ENER-031,20,1,1
POWER_FAIL,VOLTAGE,53.98,48,V,1.1246,MAJEURE,SOU-SRV-OSS-01,10,2,0
PING_LOSS,PACKET_LOSS,2.5,10,%,0.25,MAJEURE,ARI-ENB-014,10,0,0
CPU_HIGH,CPU,79.29,85,%,0.9328,CRITIQUE,ARI-ENB-014,5,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,17,2,1
PING_LOSS,PACKET_LOSS,0.46,10,%,0.046,MINEURE,BIZ-ENB-022,19,2,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,ARI-ENB-014,7,2,0
AUTH_FAILURE,AUTH_FAIL,62.94,5,count,12.588,MAJEURE,TUN-RTR-CORE-01,13,1,1
CPU_HIGH,CPU,46.11,85,%,0.5425,MINEURE,ARI-ENB-014,3,3,0
PING_LOSS,PACKET_LOSS,5.36,10,%,0.536,CRITIQUE,TUN-RTR-CORE-01,9,4,0
CPU_HIGH,CPU,32.73,85,%,0.3851,MINEURE,SOU-SRV-OSS-01,13,1,0
DISK_FULL,DISK,21.03,90,%,0.2337,MAJEURE,SOU-SRV-OSS-01,17,2,0
AUTH_FAILURE,AUTH_FAIL,0.95,5,count,0.19,CRITIQUE,SOU-SRV-OSS-01,11,4,0
CPU_HIGH,CPU,79.46,85,%,0.9348,MINEURE,BIZ-ENB-022,0,1,0
DISK_FULL,DISK,15.95,90,%,0.1772,MINEURE,NAB-ENER-031,14,6,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,BIZ-ENB-022,6,5,0
AUTH_FAILURE,AUTH_FAIL,3.39,5,count,0.678,CRITIQUE,BIZ-ENB-022,17,2,0
PING_LOSS,PACKET_LOSS,87.18,10,%,8.718,CRITIQUE,SOU-SRV-OSS-01,4,6,1
AUTH_FAILURE,AUTH_FAIL,0.25,5,count,0.05,MAJEURE,NAB-ENER-031,12,6,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,NAB-ENER-031,18,4,0
RAM_HIGH,RAM,54.76,90,%,0.6084,MAJEURE,SOU-SRV-OSS-01,1,5,0
POWER_FAIL,VOLTAGE,37.98,48,V,0.7912,MAJEURE,TUN-RTR-CORE-01,19,1,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,TUN-RTR-CORE-01,20,0,0
POWER_FAIL,VOLTAGE,53.7,48,V,1.1188,MINEURE,SOU-SRV-OSS-01,13,4,0
DISK_FULL,DISK,31.82,90,%,0.3536,CRITIQUE,NAB-ENER-031,10,6,0
POWER_FAIL,VOLTAGE,22.83,48,V,0.4756,CRITIQUE,ARI-ENB-014,21,5,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,3,3,1
RAM_HIGH,RAM,96.25,90,%,1.0694,MAJEURE,TUN-RTR-CORE-01,19,3,1
PING_LOSS,PACKET_LOSS,7.14,10,%,0.714,CRITIQUE,TUN-RTR-CORE-01,20,5,0
PING_LOSS,PACKET_LOSS,7.73,10,%,0.773,CRITIQUE,ARI-ENB-014,6,6,0
POWER_FAIL,VOLTAGE,51.47,48,V,1.0723,CRITIQUE,ARI-ENB-014,4,5,0
PING_LOSS,PACKET_LOSS,4.84,10,%,0.484,MAJEURE,SOU-SRV-OSS-01,19,1,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,ARI-ENB-014,18,5,0
POWER_FAIL,VOLTAGE,51.82,48,V,1.0796,CRITIQUE,BIZ-ENB-022,5,5,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,NAB-ENER-031,9,4,0
CPU_HIGH,CPU,49.4,85,%,0.5812,MINEURE,TUN-RTR-CORE-01,12,0,0
PING_LOSS,PACKET_LOSS,3.59,10,%,0.359,MINEURE,ARI-ENB-014,4,4,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,NAB-ENER-031,20,5,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,SOU-SRV-OSS-01,13,4,1
DISK_FULL,DISK,94.89,90,%,1.0543,CRITIQUE,TUN-RTR-CORE-01,3,4,1
PING_LOSS,PACKET_LOSS,5.33,10,%,0.533,MINEURE,BIZ-ENB-022,7,6,0
POWER_FAIL,VOLTAGE,27.03,48,V,0.5631,MAJEURE,BIZ-ENB-022,19,3,1
POWER_FAIL,VOLTAGE,49.08,48,V,1.0225,MAJEURE,ARI-ENB-014,10,6,0
AUTH_FAILURE,AUTH_FAIL,45.1,5,count,9.02,MAJEURE,ARI-ENB-014,14,4,1
AUTH_FAILURE,AUTH_FAIL,1.64,5,count,0.328,CRITIQUE,ARI-ENB-014,14,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,0,5,0
POWER_FAIL,VOLTAGE,48.69,48,V,1.0144,CRITIQUE,BIZ-ENB-022,5,4,0
DISK_FULL,DISK,39.46,90,%,0.4384,MAJEURE,BIZ-ENB-022,12,3,0
CPU_HIGH,CPU,90.53,85,%,1.0651,MAJEURE,SOU-SRV-OSS-01,11,1,1
CPU_HIGH,CPU,78.18,85,%,0.9198,MAJEURE,SOU-SRV-OSS-01,20,1,0
AUTH_FAILURE,AUTH_FAIL,0.13,5,count,0.026,MAJEURE,BIZ-ENB-022,22,2,0
CPU_HIGH,CPU,44.34,85,%,0.5216,MINEURE,TUN-RTR-CORE-01,11,2,0
POWER_FAIL,VOLTAGE,51.93,48,V,1.0819,CRITIQUE,NAB-ENER-031,20,3,0
AUTH_FAILURE,AUTH_FAIL,81.53,5,count,16.306,MAJEURE,SOU-SRV-OSS-01,2,1,1
RAM_HIGH,RAM,50.0,90,%,0.5556,MAJEURE,NAB-ENER-031,0,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,ARI-ENB-014,9,4,0
POWER_FAIL,VOLTAGE,33.84,48,V,0.705,MAJEURE,BIZ-ENB-022,6,5,1
POWER_FAIL,VOLTAGE,10.98,48,V,0.2288,MAJEURE,TUN-RTR-CORE-01,2,5,1
PING_LOSS,PACKET_LOSS,7.33,10,%,0.733,MINEURE,TUN-RTR-CORE-01,15,2,0
POWER_FAIL,VOLTAGE,48.73,48,V,1.0152,MINEURE,BIZ-ENB-022,21,6,0
CPU_HIGH,CPU,94.2,85,%,1.1082,CRITIQUE,SOU-SRV-OSS-01,14,0,1
POWER_FAIL,VOLTAGE,49.81,48,V,1.0377,CRITIQUE,SOU-SRV-OSS-01,4,2,0
AUTH_FAILURE,AUTH_FAIL,1.09,5,count,0.218,MAJEURE,SOU-SRV-OSS-01,3,2,0
RAM_HIGH,RAM,77.42,90,%,0.8602,MINEURE,NAB-ENER-031,22,2,0
CPU_HIGH,CPU,32.76,85,%,0.3854,CRITIQUE,TUN-RTR-CORE-01,19,1,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,TUN-RTR-CORE-01,10,6,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,TUN-RTR-CORE-01,21,6,0
POWER_FAIL,VOLTAGE,50.38,48,V,1.0496,CRITIQUE,TUN-RTR-CORE-01,13,0,0
CPU_HIGH,CPU,39.48,85,%,0.4645,CRITIQUE,NAB-ENER-031,3,0,0
POWER_FAIL,VOLTAGE,5.5,48,V,0.1146,CRITIQUE,BIZ-ENB-022,15,5,1
CPU_HIGH,CPU,24.31,85,%,0.286,CRITIQUE,TUN-RTR-CORE-01,10,0,0
PING_LOSS,PACKET_LOSS,2.19,10,%,0.219,MINEURE,SOU-SRV-OSS-01,11,3,0
RAM_HIGH,RAM,66.26,90,%,0.7362,MINEURE,SOU-SRV-OSS-01,11,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,5,1,0
PING_LOSS,PACKET_LOSS,6.14,10,%,0.614,MINEURE,ARI-ENB-014,5,1,0
DISK_FULL,DISK,29.57,90,%,0.3286,CRITIQUE,NAB-ENER-031,14,4,0
RAM_HIGH,RAM,45.5,90,%,0.5056,CRITIQUE,ARI-ENB-014,14,6,0
AUTH_FAILURE,AUTH_FAIL,1.09,5,count,0.218,CRITIQUE,NAB-ENER-031,0,3,0
CPU_HIGH,CPU,72.57,85,%,0.8538,MINEURE,SOU-SRV-OSS-01,1,6,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,TUN-RTR-CORE-01,1,2,1
RAM_HIGH,RAM,26.67,90,%,0.2963,MAJEURE,BIZ-ENB-022,19,2,0
PING_LOSS,PACKET_LOSS,65.92,10,%,6.592,MAJEURE,ARI-ENB-014,0,1,1
AUTH_FAILURE,AUTH_FAIL,3.7,5,count,0.74,MINEURE,SOU-SRV-OSS-01,20,5,0
CPU_HIGH,CPU,29.55,85,%,0.3476,CRITIQUE,SOU-SRV-OSS-01,9,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,7,6,0
RAM_HIGH,RAM,63.55,90,%,0.7061,CRITIQUE,BIZ-ENB-022,7,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,BIZ-ENB-022,16,3,0
POWER_FAIL,VOLTAGE,52.72,48,V,1.0983,MINEURE,NAB-ENER-031,19,4,0
CPU_HIGH,CPU,98.73,85,%,1.1615,MAJEURE,TUN-RTR-CORE-01,20,3,1
POWER_FAIL,VOLTAGE,4.02,48,V,0.0837,MAJEURE,ARI-ENB-014,0,4,1
PING_LOSS,PACKET_LOSS,33.17,10,%,3.317,CRITIQUE,ARI-ENB-014,22,2,1
AUTH_FAILURE,AUTH_FAIL,2.32,5,count,0.464,CRITIQUE,ARI-ENB-014,2,2,0
POWER_FAIL,VOLTAGE,51.59,48,V,1.0748,MINEURE,BIZ-ENB-022,2,2,0
PING_LOSS,PACKET_LOSS,2.89,10,%,0.289,MAJEURE,TUN-RTR-CORE-01,5,2,0
RAM_HIGH,RAM,96.33,90,%,1.0703,CRITIQUE,SOU-SRV-OSS-01,4,1,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MAJEURE,SOU-SRV-OSS-01,0,2,0
POWER_FAIL,VOLTAGE,15.72,48,V,0.3275,CRITIQUE,SOU-SRV-OSS-01,23,6,1
AUTH_FAILURE,AUTH_FAIL,0.32,5,count,0.064,MAJEURE,TUN-RTR-CORE-01,13,5,0
AUTH_FAILURE,AUTH_FAIL,3.49,5,count,0.698,CRITIQUE,SOU-SRV-OSS-01,9,3,0
DISK_FULL,DISK,10.22,90,%,0.1136,MINEURE,ARI-ENB-014,4,4,0
DISK_FULL,DISK,16.7,90,%,0.1856,MINEURE,SOU-SRV-OSS-01,21,5,0
POWER_FAIL,VOLTAGE,51.32,48,V,1.0692,MINEURE,NAB-ENER-031,4,0,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,NAB-ENER-031,12,5,0
PING_LOSS,PACKET_LOSS,5.18,10,%,0.518,MINEURE,NAB-ENER-031,15,3,0
DISK_FULL,DISK,27.09,90,%,0.301,CRITIQUE,NAB-ENER-031,8,5,0
AUTH_FAILURE,AUTH_FAIL,47.12,5,count,9.424,MAJEURE,ARI-ENB-014,15,5,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,TUN-RTR-CORE-01,3,6,0
POWER_FAIL,VOLTAGE,53.97,48,V,1.1244,MAJEURE,SOU-SRV-OSS-01,9,3,0
RAM_HIGH,RAM,82.37,90,%,0.9152,MINEURE,SOU-SRV-OSS-01,1,6,0
RAM_HIGH,RAM,81.05,90,%,0.9006,MINEURE,BIZ-ENB-022,20,2,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,6,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,ARI-ENB-014,9,1,0
RAM_HIGH,RAM,86.57,90,%,0.9619,CRITIQUE,TUN-RTR-CORE-01,18,0,0
AUTH_FAILURE,AUTH_FAIL,1.79,5,count,0.358,CRITIQUE,NAB-ENER-031,11,2,0
AUTH_FAILURE,AUTH_FAIL,2.82,5,count,0.564,MINEURE,SOU-SRV-OSS-01,0,0,0
AUTH_FAILURE,AUTH_FAIL,0.57,5,count,0.114,MINEURE,NAB-ENER-031,20,2,0
CPU_HIGH,CPU,92.86,85,%,1.0925,CRITIQUE,TUN-RTR-CORE-01,20,2,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,ARI-ENB-014,12,3,0
POWER_FAIL,VOLTAGE,29.89,48,V,0.6227,MAJEURE,BIZ-ENB-022,2,2,1
CPU_HIGH,CPU,42.94,85,%,0.5052,MAJEURE,NAB-ENER-031,4,1,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,21,4,0
CPU_HIGH,CPU,55.41,85,%,0.6519,CRITIQUE,ARI-ENB-014,20,6,0
PING_LOSS,PACKET_LOSS,69.92,10,%,6.992,CRITIQUE,ARI-ENB-014,11,4,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,NAB-ENER-031,10,3,0
AUTH_FAILURE,AUTH_FAIL,49.76,5,count,9.952,MAJEURE,TUN-RTR-CORE-01,18,1,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,3,1,1
POWER_FAIL,VOLTAGE,12.58,48,V,0.2621,MAJEURE,BIZ-ENB-022,7,0,1
POWER_FAIL,VOLTAGE,33.01,48,V,0.6877,CRITIQUE,TUN-RTR-CORE-01,2,0,1
AUTH_FAILURE,AUTH_FAIL,30.1,5,count,6.02,CRITIQUE,ARI-ENB-014,20,2,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,NAB-ENER-031,11,4,1
PING_LOSS,PACKET_LOSS,8.4,10,%,0.84,MAJEURE,ARI-ENB-014,22,1,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,BIZ-ENB-022,0,6,0
RAM_HIGH,RAM,87.78,90,%,0.9753,MAJEURE,TUN-RTR-CORE-01,16,5,0
AUTH_FAILURE,AUTH_FAIL,2.99,5,count,0.598,MAJEURE,BIZ-ENB-022,3,3,0
POWER_FAIL,VOLTAGE,50.85,48,V,1.0594,MINEURE,ARI-ENB-014,1,3,0
AUTH_FAILURE,AUTH_FAIL,0.61,5,count,0.122,MINEURE,ARI-ENB-014,23,4,0
DISK_FULL,DISK,83.91,90,%,0.9323,MINEURE,SOU-SRV-OSS-01,18,3,0
RAM_HIGH,RAM,39.18,90,%,0.4353,MAJEURE,BIZ-ENB-022,5,2,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,13,3,1
AUTH_FAILURE,AUTH_FAIL,3.65,5,count,0.73,MINEURE,NAB-ENER-031,12,5,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,BIZ-ENB-022,6,3,0
POWER_FAIL,VOLTAGE,52.07,48,V,1.0848,MINEURE,NAB-ENER-031,23,1,0
AUTH_FAILURE,AUTH_FAIL,0.58,5,count,0.116,MINEURE,ARI-ENB-014,19,4,0
AUTH_FAILURE,AUTH_FAIL,93.94,5,count,18.788,MAJEURE,SOU-SRV-OSS-01,8,6,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,6,2,0
RAM_HIGH,RAM,21.34,90,%,0.2371,MAJEURE,SOU-SRV-OSS-01,1,2,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,SOU-SRV-OSS-01,20,5,1
AUTH_FAILURE,AUTH_FAIL,1.21,5,count,0.242,MINEURE,BIZ-ENB-022,18,0,0
PING_LOSS,PACKET_LOSS,58.73,10,%,5.873,CRITIQUE,SOU-SRV-OSS-01,15,6,1
RAM_HIGH,RAM,66.81,90,%,0.7423,MINEURE,BIZ-ENB-022,8,5,0
RAM_HIGH,RAM,93.18,90,%,1.0353,MAJEURE,TUN-RTR-CORE-01,8,3,1
POWER_FAIL,VOLTAGE,49.5,48,V,1.0312,MINEURE,TUN-RTR-CORE-01,7,5,0
RAM_HIGH,RAM,71.13,90,%,0.7903,CRITIQUE,TUN-RTR-CORE-01,2,5,0
RAM_HIGH,RAM,69.69,90,%,0.7743,CRITIQUE,NAB-ENER-031,17,6,0
CPU_HIGH,CPU,81.45,85,%,0.9582,MINEURE,TUN-RTR-CORE-01,6,5,0
AUTH_FAILURE,AUTH_FAIL,2.67,5,count,0.534,MAJEURE,NAB-ENER-031,9,5,0
RAM_HIGH,RAM,80.09,90,%,0.8899,MINEURE,SOU-SRV-OSS-01,21,1,0
PING_LOSS,PACKET_LOSS,87.29,10,%,8.729,MAJEURE,ARI-ENB-014,9,0,1
PING_LOSS,PACKET_LOSS,0.27,10,%,0.027,CRITIQUE,ARI-ENB-014,7,4,0
PING_LOSS,PACKET_LOSS,0.07,10,%,0.007,MAJEURE,TUN-RTR-CORE-01,19,5,0
CPU_HIGH,CPU,44.26,85,%,0.5207,MAJEURE,ARI-ENB-014,14,2,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MAJEURE,TUN-RTR-CORE-01,1,3,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,17,5,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,19,1,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,NAB-ENER-031,21,0,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,21,3,1
POWER_FAIL,VOLTAGE,50.39,48,V,1.0498,CRITIQUE,ARI-ENB-014,3,6,0
DISK_FULL,DISK,98.75,90,%,1.0972,MAJEURE,BIZ-ENB-022,23,6,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,SOU-SRV-OSS-01,16,4,1
DISK_FULL,DISK,92.48,90,%,1.0276,MAJEURE,BIZ-ENB-022,22,1,1
AUTH_FAILURE,AUTH_FAIL,57.99,5,count,11.598,MAJEURE,TUN-RTR-CORE-01,11,2,1
POWER_FAIL,VOLTAGE,51.04,48,V,1.0633,CRITIQUE,BIZ-ENB-022,0,6,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,ARI-ENB-014,22,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,1,2,1
CPU_HIGH,CPU,76.19,85,%,0.8964,CRITIQUE,TUN-RTR-CORE-01,2,5,0
PING_LOSS,PACKET_LOSS,4.68,10,%,0.468,CRITIQUE,SOU-SRV-OSS-01,21,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,BIZ-ENB-022,22,1,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,NAB-ENER-031,13,2,0
RAM_HIGH,RAM,59.61,90,%,0.6623,MAJEURE,NAB-ENER-031,17,6,0
PING_LOSS,PACKET_LOSS,1.46,10,%,0.146,CRITIQUE,SOU-SRV-OSS-01,5,5,0
PING_LOSS,PACKET_LOSS,0.26,10,%,0.026,MAJEURE,BIZ-ENB-022,5,3,0
POWER_FAIL,VOLTAGE,51.34,48,V,1.0696,CRITIQUE,SOU-SRV-OSS-01,17,4,0
PING_LOSS,PACKET_LOSS,7.7,10,%,0.77,CRITIQUE,NAB-ENER-031,1,2,0
PING_LOSS,PACKET_LOSS,7.12,10,%,0.712,MINEURE,ARI-ENB-014,21,5,0
RAM_HIGH,RAM,75.75,90,%,0.8417,MAJEURE,SOU-SRV-OSS-01,3,0,0
